YEAR,MO,DY,T2M,T2MWET,WS10M_RANGE,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT
2000,1,1,7.27,5.3,4.41,5.52,9.33,2.35,0.48
2000,1,2,9.59,6.3,5.2,7.51,9.4,2.99,0.66
2000,1,3,9.29,5.65,4.05,8.83,9.43,2.54,0.77
2000,1,4,9.31,4.42,2.91,7.74,8.96,1.52,0.68
2000,1,5,8.48,4.73,5.46,6.97,8.67,2.4,0.61
2000,1,6,8.4,5.37,5.49,6.49,9.0,4.48,0.57
2000,1,7,8.96,4.81,3.69,6.97,8.4,3.34,0.61
2000,1,8,9.3,4.72,4.41,6.83,8.93,2.92,0.6
2000,1,9,8.83,5.4,4.72,6.7,8.19,4.63,0.59
2000,1,10,8.62,5.33,3.93,7.07,9.07,3.64,0.62
2000,1,11,9.11,5.8,3.95,4.77,9.4,4.09,0.42
2000,1,12,9.49,6.12,4.07,4.93,8.79,3.99,0.44
2000,1,13,9.53,6.27,3.66,5.04,8.67,3.55,0.45
2000,1,14,10.35,6.36,3.73,7.03,8.74,2.34,0.62
2000,1,15,7.91,5.28,5.3,3.99,9.42,1.92,0.35
2000,1,16,6.48,4.05,3.7,4.48,9.41,2.27,0.4
2000,1,17,8.4,5.65,8.69,4.21,8.68,4.33,0.38
2000,1,18,8.65,5.69,4.72,6.9,8.86,4.64,0.61
2000,1,19,7.23,4.86,3.88,5.05,9.4,4.91,0.45
2000,1,20,8.68,5.69,4.45,5.16,9.39,3.47,0.45
2000,1,21,10.06,6.57,2.62,5.85,8.54,1.17,0.52
2000,1,22,7.66,5.08,3.04,5.67,8.63,2.3,0.5
2000,1,23,8.76,6.05,4.13,4.38,9.41,3.88,0.39
2000,1,24,9.5,6.62,3.34,5.82,8.84,3.3,0.52
2000,1,25,9.26,6.58,3.27,4.05,9.37,3.3,0.36
2000,1,26,8.95,5.8,3.96,4.85,9.36,3.91,0.43
2000,1,27,9.4,6.48,2.91,6.09,8.38,3.49,0.54
2000,1,28,9.26,6.37,5.3,4.28,9.36,2.81,0.38
2000,1,29,8.93,5.9,5.7,4.63,8.6,2.31,0.41
2000,1,30,7.17,4.65,5.05,5.06,9.14,2.08,0.45
2000,1,31,7.6,5.27,6.97,5.15,8.79,2.84,0.46
2000,2,1,9.95,6.49,4.87,4.76,9.38,3.41,0.42
2000,2,2,9.03,5.94,5.52,5.53,8.92,2.38,0.49
2000,2,3,8.88,5.34,5.12,5.08,9.27,2.25,0.45
2000,2,4,9.44,3.36,3.06,6.41,8.79,2.09,0.57
2000,2,5,10.58,5.25,4.02,4.93,9.23,1.87,0.44
2000,2,6,8.62,4.9,5.02,5.01,8.93,2.32,0.45
2000,2,7,9.79,6.9,4.23,4.56,8.82,3.34,0.41
2000,2,8,10.01,6.48,3.7,5.88,8.57,2.66,0.52
2000,2,9,8.62,6.05,4.52,5.18,9.08,1.98,0.47
2000,2,10,6.9,5.05,5.77,5.09,8.86,2.06,0.46
2000,2,11,8.84,6.13,3.45,5.93,9.08,2.75,0.53
2000,2,12,8.15,5.58,5.33,5.4,9.17,3.25,0.48
2000,2,13,8.61,5.3,5.45,8.61,9.1,3.84,0.78
2000,2,14,7.9,5.33,4.31,5.77,9.13,4.69,0.52
2000,2,15,7.67,5.1,4.84,7.22,8.75,4.16,0.66
2000,2,16,7.03,4.83,4.53,5.7,7.95,4.73,0.52
2000,2,17,7.36,4.87,2.98,5.77,8.61,4.58,0.52
2000,2,18,7.77,4.98,4.35,6.92,8.48,3.7,0.63
2000,2,19,8.23,5.32,4.09,6.91,8.01,3.52,0.63
2000,2,20,7.94,5.51,3.44,5.9,8.43,3.7,0.54
2000,2,21,8.32,5.49,3.98,5.33,7.88,4.02,0.48
2000,2,22,8.35,5.85,5.39,5.76,8.41,2.79,0.53
2000,2,23,8.9,6.49,6.3,5.46,8.36,3.32,0.5
2000,2,24,8.89,6.61,3.73,5.29,8.52,4.22,0.48
2000,2,25,8.89,6.5,4.12,5.71,8.41,3.8,0.53
2000,2,26,9.17,6.28,2.27,5.31,8.64,2.1,0.49
2000,2,27,9.64,6.62,4.38,5.6,8.49,2.52,0.52
2000,2,28,8.73,6.65,4.62,5.87,7.83,3.91,0.55
2000,2,29,9.03,6.28,3.63,4.59,8.88,3.5,0.43
2000,3,1,9.81,7.19,2.62,5.65,8.32,2.38,0.53
2000,3,2,9.73,6.8,2.66,6.92,8.26,3.22,0.65
2000,3,3,10.0,6.87,2.38,6.85,8.18,2.64,0.64
2000,3,4,9.49,6.98,3.62,5.82,7.86,3.17,0.55
2000,3,5,9.27,6.71,4.34,5.46,8.7,3.82,0.52
2000,3,6,8.59,6.62,4.36,5.57,8.12,3.66,0.53
2000,3,7,8.32,6.12,3.16,4.48,8.52,4.01,0.43
2000,3,8,9.09,6.48,2.92,5.59,8.1,2.48,0.53
2000,3,9,8.01,5.58,4.09,4.94,8.06,2.72,0.47
2000,3,10,7.82,5.11,3.34,5.02,8.14,2.02,0.48
2000,3,11,5.24,3.1,2.97,4.53,8.47,2.16,0.44
2000,3,12,7.32,4.32,4.82,5.04,8.24,2.2,0.48
2000,3,13,8.01,2.81,3.27,6.23,7.93,3.55,0.6
2000,3,14,8.45,4.19,3.72,7.05,7.97,1.95,0.69
2000,3,15,9.05,5.81,3.47,5.33,8.04,1.31,0.52
2000,3,16,7.79,2.42,3.66,8.06,8.31,1.84,0.79
2000,3,17,8.03,4.51,2.88,5.52,8.41,2.03,0.54
2000,3,18,8.74,5.82,4.59,6.97,7.73,2.7,0.69
2000,3,19,7.94,5.51,2.41,5.42,8.19,2.52,0.53
2000,3,20,7.48,5.58,3.8,5.9,7.8,2.68,0.59
2000,3,21,8.74,6.0,4.3,6.54,7.66,3.27,0.65
2000,3,22,7.8,5.18,4.18,6.19,7.49,3.51,0.62
2000,3,23,7.76,5.36,6.13,4.71,8.2,3.41,0.47
2000,3,24,7.41,5.07,4.7,5.69,7.57,3.94,0.57
2000,3,25,7.45,4.51,3.57,6.54,7.66,3.22,0.66
2000,3,26,9.22,4.9,3.81,6.6,7.81,1.66,0.67
2000,3,27,7.58,5.22,3.11,6.43,7.67,2.49,0.66
2000,3,28,7.98,4.94,3.84,6.17,7.63,3.45,0.63
2000,3,29,8.13,5.28,2.96,5.52,7.55,1.52,0.56
2000,3,30,8.03,5.13,3.34,6.5,7.48,1.52,0.67
2000,3,31,7.76,4.82,3.32,7.08,7.06,3.01,0.73
2000,4,1,7.52,4.75,3.84,5.79,6.75,3.73,0.6
2000,4,2,6.73,3.37,2.97,6.42,7.22,3.16,0.67
2000,4,3,7.38,3.69,3.41,7.08,7.39,3.12,0.74
2000,4,4,7.71,4.13,4.51,7.08,7.19,2.91,0.74
2000,4,5,6.88,2.96,4.37,5.8,7.34,2.91,0.61
2000,4,6,6.91,3.63,3.27,6.36,7.44,2.76,0.67
2000,4,7,9.05,5.67,4.55,6.12,7.3,2.18,0.65
2000,4,8,8.81,5.47,4.93,6.74,7.04,3.53,0.72
2000,4,9,7.73,5.06,3.13,6.06,7.13,2.98,0.65
2000,4,10,8.14,4.83,4.85,6.98,7.04,3.22,0.75
